period,rank,word,similarity,freq_mingqing,freq_late_qing,freq_republican,freq_socialist,freq_contemporary
republican,5,觉到,0.5715027451515198,3,2,131,32,14
republican,6,萝在,0.5698751211166382,0,0,13,1,0
republican,7,理知,0.5681309103965759,0,1,21,0,0
republican,8,沉溺在,0.5646751523017883,0,0,11,3,1
republican,9,祁瑞宣,0.5638177394866943,0,0,16,0,0
republican,10,然而,0.5615185499191284,162,1570,3592,560,964
republican,11,云仓君,0.561177134513855,0,0,14,0,0
republican,12,出惊,0.5592551827430725,1,0,16,1,4
republican,13,浮著,0.5572848916053772,0,0,14,0,1
republican,14,感着,0.5563079118728638,2,1,84,1,2
republican,15,总使,0.5557661056518555,11,3,17,2,2
republican,16,颓伤,0.5535576939582825,0,0,14,0,1
republican,17,微笑起来,0.5530471205711365,1,1,17,5,12
republican,18,胸里,0.551439106464386,1,0,15,1,1
republican,19,丁宁,0.5506167411804199,5,5,781,1,0
republican,20,摇了一下,0.5494964122772217,0,0,23,10,7
republican,21,抑住,0.5481175780296326,0,0,20,1,2
republican,22,蕴蓄,0.5452252626419067,0,1,20,0,2
republican,23,了慧,0.5423130393028259,0,0,12,0,0
republican,24,哀愁,0.5416563749313354,0,0,63,13,14
republican,25,哀凉,0.5384781956672668,0,0,15,0,0
republican,26,矮奴,0.5355026721954346,0,0,21,0,0
republican,27,幻像,0.535278856754303,0,0,12,0,0
republican,28,黎蒂,0.5351850986480713,0,0,30,0,0
republican,29,忧悒,0.5348750352859497,0,0,16,2,7
republican,30,嫌厌,0.5347459316253662,1,2,16,2,3
republican,31,和瑞宣,0.5344758629798889,0,0,13,0,0
republican,32,子君,0.5338168740272522,0,0,36,0,0
republican,33,确能,0.5333760380744934,0,3,14,0,0
republican,34,万料,0.53318852186203,0,0,15,0,0
republican,35,愁眉苦眼,0.5331843495368958,0,5,11,1,0
republican,36,失望,0.5330665111541748,24,45,611,278,436
republican,37,忘去,0.5327481627464294,1,0,18,1,0
republican,38,轻藐,0.5325767397880554,0,2,13,0,3
republican,39,萝是,0.5321743488311768,0,0,13,0,0
republican,40,忿激,0.531000018119812,2,1,13,0,0
republican,41,发著,0.526818037033081,0,0,24,0,2
republican,42,瞑想,0.5259839296340942,0,0,18,0,0
socialist,1,了余静,0.6390271782875061,0,0,0,12,0
socialist,2,心窝儿,0.6096811890602112,0,6,1,29,0
socialist,3,乐滋滋,0.6094937324523926,0,0,0,12,5
socialist,4,犹豫起来,0.6094728112220764,1,1,1,15,2
socialist,5,热呼呼,0.6093505620956421,0,1,1,26,7
socialist,6,豁亮,0.6077448725700378,4,0,1,63,9
socialist,7,振江,0.5937628149986267,0,0,0,12,0
socialist,8,热流,0.5937285423278809,0,0,3,28,23
socialist,9,犯嘀咕,0.5895518064498901,0,0,1,20,11
socialist,10,忍下,0.5888779163360596,1,1,2,12,6
socialist,11,满肚子,0.5860976576805115,6,12,29,93,17
socialist,12,甜滋滋,0.5849031209945679,0,0,0,10,9
socialist,13,油然而生,0.5766918063163757,3,2,2,13,25
socialist,14,黄国,0.5714520812034607,0,1,0,10,0
socialist,15,不能平静,0.5706132650375366,1,0,1,13,8
socialist,16,对余静,0.570256769657135,0,0,0,30,0
socialist,17,发懵,0.569272518157959,0,0,0,12,7
socialist,18,得心,0.5686839818954468,0,1,4,11,9
socialist,19,挺足,0.5685914754867554,0,0,1,12,3
socialist,20,后怕,0.5673065781593323,3,3,8,16,29
socialist,21,慌神,0.5651859045028687,0,1,0,15,9
socialist,22,翠花姐,0.5643905401229858,0,0,0,10,0
socialist,23,激动,0.5633205771446228,7,24,554,1333,999
socialist,24,发慌,0.5627853274345398,20,21,41,70,39
socialist,25,码事,0.5612491369247437,0,0,3,20,2
socialist,26,难受,0.5598961114883423,71,195,362,534,449
socialist,27,口长,0.5587752461433411,0,0,1,10,2
socialist,28,耍花招,0.5558501482009888,0,1,0,18,2
socialist,29,憋气,0.5553891658782959,1,0,6,40,25
socialist,30,静谈,0.5551350116729736,0,0,1,15,1
socialist,31,详细情况,0.5547826290130615,0,0,0,23,2
contemporary,1,愧疚,0.7038785219192505,0,0,0,6,62
contemporary,2,走火入魔,0.646294355392456,0,1,0,0,11
contemporary,3,倍感,0.6346461772918701,0,1,0,1,11
contemporary,4,发怵,0.6323646306991577,0,0,4,2,10
contemporary,5,说不清道不明,0.6293472051620483,0,1,0,0,13
contemporary,6,惴惴不安,0.6291605234146118,0,0,6,24,27
contemporary,7,悸动,0.6271775364875793,0,1,2,10,24
contemporary,8,心急如焚,0.6235419511795044,1,4,6,3,19
contemporary,9,隐隐作痛,0.623265266418457,0,5,3,8,28
contemporary,10,新鲜感,0.6230707168579102,0,0,0,1,10
contemporary,11,郭涛,0.6217337250709534,0,0,0,0,10
contemporary,12,耿耿于怀,0.6205253005027771,0,0,1,2,40
contemporary,13,颈椎,0.6195244789123535,0,0,0,0,11
contemporary,14,含满,0.6194131374359131,0,0,3,6,13
contemporary,15,潮起,0.618794322013855,0,0,0,1,18
contemporary,16,酸涩,0.618633508682251,0,1,2,1,10
contemporary,17,但红伟,0.6169564723968506,0,0,0,0,14
contemporary,18,烦躁不安,0.6143253445625305,0,0,2,5,10
contemporary,19,杨巡见,0.6140220165252686,0,0,0,0,17
contemporary,20,琢磨不透,0.6131274700164795,0,0,0,0,11
contemporary,21,内心深处,0.6126406788825989,0,0,6,18,82
contemporary,22,揪心,0.6126188039779663,1,1,9,9,35
contemporary,23,突发,0.6097509860992432,1,0,4,0,20
