word,mean_change,std_change,ci_low,ci_high,n_trials,z_score
头发,-0.006955,0.058035,-0.109365,0.114829,100,-0.119837
手枪,-0.006961,0.060933,-0.106432,0.107378,100,-0.114237
胆子,-0.007034,0.061156,-0.120553,0.107530,100,-0.115013
车站,-0.007059,0.059021,-0.126691,0.103133,100,-0.119596
中正,-0.007091,0.054697,-0.126798,0.076849,100,-0.129633
女孩子,-0.007133,0.060494,-0.129713,0.106315,100,-0.117910
地道,-0.007142,0.062213,-0.112145,0.089214,100,-0.114807
二哥,-0.007197,0.052345,-0.111032,0.096576,100,-0.137487
外人,-0.007201,0.060880,-0.112637,0.115324,100,-0.118284
富农,-0.007229,0.062666,-0.140301,0.090447,100,-0.115362
办公室,-0.007258,0.058790,-0.110476,0.114009,100,-0.123466
衣裳,-0.007269,0.062409,-0.133619,0.132856,100,-0.116466
秃子,-0.007317,0.054792,-0.097768,0.093991,100,-0.133534
证明,-0.007416,0.068985,-0.144338,0.117415,100,-0.107499
保险,-0.007439,0.061898,-0.121586,0.108727,100,-0.120176
伪军,-0.007450,0.066060,-0.122652,0.120642,100,-0.112770
窝儿,-0.007463,0.058768,-0.141070,0.084161,100,-0.126989
大嫂,-0.007483,0.060523,-0.128797,0.102364,100,-0.123639
部长,-0.007529,0.059089,-0.131853,0.111611,100,-0.127415
俘虏,-0.007542,0.065580,-0.126571,0.117139,100,-0.115003
棒槌,-0.007563,0.065279,-0.118207,0.126477,100,-0.115856
枪声,-0.007588,0.068061,-0.121203,0.118992,100,-0.111489
椅子,-0.007591,0.059185,-0.108241,0.112522,100,-0.128258
心眼,-0.007721,0.058115,-0.111085,0.098716,100,-0.132862
房屋,-0.007792,0.050356,-0.095392,0.112451,100,-0.154730
班长,-0.007799,0.060038,-0.119056,0.105108,100,-0.129909
老太太,-0.007804,0.063341,-0.128739,0.120086,100,-0.123210
客气,-0.007812,0.069788,-0.137738,0.135510,100,-0.111937
八路军,-0.007956,0.064568,-0.125068,0.103202,100,-0.123216
肩膀,-0.007961,0.055617,-0.110787,0.110938,100,-0.143147
干部,-0.007997,0.062286,-0.126760,0.114740,100,-0.128386
耳朵,-0.008009,0.058319,-0.112235,0.098174,100,-0.137325
叔叔,-0.008031,0.059465,-0.117857,0.104606,100,-0.135050
地方,-0.008052,0.058996,-0.116041,0.111497,100,-0.136489
假装,-0.008074,0.058870,-0.098583,0.117804,100,-0.137145
小梅,-0.008085,0.062312,-0.132142,0.112089,100,-0.129757
医院,-0.008091,0.059537,-0.111156,0.104815,100,-0.135905
商量,-0.008116,0.054263,-0.125079,0.097849,100,-0.149577
村干部,-0.008177,0.064586,-0.132024,0.112990,100,-0.126610
厂里,-0.008208,0.062326,-0.127852,0.111130,100,-0.131701
利用,-0.008362,0.063160,-0.130134,0.106261,100,-0.132395
长官,-0.008399,0.062011,-0.129769,0.114047,100,-0.135440
个子,-0.008406,0.057925,-0.104521,0.114302,100,-0.145122
好感,-0.008421,0.066903,-0.140049,0.127461,100,-0.125876
钢笔,-0.008457,0.059612,-0.107924,0.118908,100,-0.141874
面子,-0.008465,0.066672,-0.151146,0.130869,100,-0.126963
口袋,-0.008485,0.060016,-0.135147,0.112565,100,-0.141373
碉堡,-0.008598,0.060951,-0.128630,0.115234,100,-0.141066
纸条,-0.008601,0.064174,-0.127129,0.111623,100,-0.134028
屁股,-0.008678,0.059265,-0.117866,0.086176,100,-0.146421
小兔子,-0.008715,0.053648,-0.117800,0.096667,100,-0.162444
王强,-0.008785,0.060685,-0.135229,0.103668,100,-0.144768
个底,-0.008810,0.065275,-0.142393,0.104388,100,-0.134974
心想,-0.008918,0.054207,-0.118085,0.091738,100,-0.164511
主意,-0.008919,0.058003,-0.136602,0.081655,100,-0.153764
朋友,-0.008922,0.052130,-0.101417,0.087055,100,-0.171151
乡长,-0.008930,0.066283,-0.126581,0.099836,100,-0.134724
羔子,-0.008935,0.058293,-0.104217,0.099245,100,-0.153276
妈的,-0.008977,0.056122,-0.112898,0.090025,100,-0.159956
老婆,-0.009266,0.056483,-0.120896,0.099853,100,-0.164043
大妈,-0.009445,0.057588,-0.101002,0.124325,100,-0.164010
参军,-0.009497,0.064313,-0.130262,0.121796,100,-0.147676
张有义,-0.009507,0.061900,-0.121373,0.112788,100,-0.153595
真情,-0.009524,0.065682,-0.137919,0.105231,100,-0.144995
回事儿,-0.009528,0.063757,-0.127758,0.121276,100,-0.149443
坦白,-0.009536,0.067426,-0.139711,0.114499,100,-0.141421
维持会,-0.009591,0.062119,-0.147468,0.096701,100,-0.154390
妹妹,-0.009700,0.059890,-0.135140,0.085872,100,-0.161965
火烧,-0.009714,0.063550,-0.125438,0.098711,100,-0.152862
蛤蟆,-0.009725,0.064918,-0.129348,0.108299,100,-0.149799
声地,-0.009846,0.060598,-0.124532,0.091068,100,-0.162476
脖子,-0.009874,0.063717,-0.117085,0.110837,100,-0.154974
爱人,-0.009957,0.062823,-0.144260,0.089074,100,-0.158496
纪纲,-0.010006,0.051555,-0.114823,0.074984,100,-0.194092
基本,-0.010036,0.069530,-0.139234,0.108684,100,-0.144335
坏人,-0.010040,0.068695,-0.134818,0.134423,100,-0.146160
村庄,-0.010041,0.058492,-0.111295,0.121637,100,-0.171670
手榴弹,-0.010097,0.069746,-0.149492,0.122613,100,-0.144763
党员,-0.010193,0.069439,-0.121622,0.136730,100,-0.146797
小队长,-0.010205,0.054741,-0.095164,0.089060,100,-0.186417
姑父,-0.010251,0.066463,-0.146211,0.118132,100,-0.154235
裤子,-0.010314,0.058478,-0.101623,0.112755,100,-0.176369
民兵,-0.010324,0.067366,-0.147002,0.123618,100,-0.153255
村长,-0.010356,0.069969,-0.143056,0.105561,100,-0.148015
厂长,-0.010414,0.056719,-0.108424,0.097668,100,-0.183613
办法,-0.010472,0.063203,-0.132082,0.117211,100,-0.165695
结记,-0.010473,0.064669,-0.143125,0.109649,100,-0.161943
手表,-0.010485,0.060562,-0.137071,0.100031,100,-0.173130
性子,-0.010566,0.057712,-0.109802,0.098612,100,-0.183080
老五,-0.010693,0.052235,-0.104453,0.097040,100,-0.204717
过日子,-0.010704,0.066184,-0.146136,0.108773,100,-0.161728
地记,-0.010713,0.061796,-0.138313,0.109872,100,-0.173352
褂子,-0.010886,0.060311,-0.119793,0.129644,100,-0.180490
桂花,-0.011032,0.056941,-0.116299,0.085227,100,-0.193742
同志,-0.011091,0.058696,-0.128924,0.093731,100,-0.188958
情报,-0.011123,0.058200,-0.109027,0.107828,100,-0.191110
镯子,-0.011192,0.057767,-0.132169,0.084240,100,-0.193738
金山,-0.011218,0.057246,-0.132178,0.102800,100,-0.195960
石柱,-0.011301,0.054454,-0.112310,0.093959,100,-0.207536
队员,-0.011304,0.059051,-0.117283,0.096109,100,-0.191423
姐夫,-0.011413,0.063603,-0.126141,0.098003,100,-0.179443
大娘,-0.011432,0.059423,-0.120661,0.094492,100,-0.192389
全村,-0.011572,0.064960,-0.129960,0.109766,100,-0.178135
大水,-0.011741,0.065095,-0.148741,0.108142,100,-0.180374
汉奸,-0.011754,0.067884,-0.139178,0.126921,100,-0.173149
冷笑,-0.011921,0.062472,-0.131309,0.103386,100,-0.190825
麻子,-0.012038,0.057400,-0.116031,0.090614,100,-0.209728
大嫂子,-0.012155,0.062189,-0.142388,0.097856,100,-0.195450
房子,-0.012193,0.060498,-0.113706,0.103170,100,-0.201540
特务,-0.012194,0.059819,-0.117153,0.095014,100,-0.203846
金龙,-0.012198,0.058795,-0.133477,0.099208,100,-0.207475
闺女,-0.012327,0.064426,-0.128373,0.110307,100,-0.191336
二嫂,-0.012689,0.053957,-0.109823,0.098537,100,-0.235164
大队,-0.012970,0.062633,-0.115362,0.105565,100,-0.207078
联系,-0.013008,0.059889,-0.126939,0.087396,100,-0.217203
农会,-0.013358,0.069602,-0.143891,0.127344,100,-0.191923
东风,-0.013451,0.059846,-0.123561,0.116706,100,-0.224761
秘密,-0.013634,0.063121,-0.124098,0.099264,100,-0.215994
子弹,-0.013652,0.059710,-0.132170,0.085504,100,-0.228637
问问,-0.013749,0.060813,-0.111385,0.110340,100,-0.226088
胳膊,-0.013822,0.067496,-0.162848,0.120723,100,-0.204776
老虎,-0.013843,0.058462,-0.133341,0.096218,100,-0.236792
