word,mean_change,std_change,ci_low,ci_high,n_trials,z_score
身躯,-0.036135,0.083959,-0.098673,0.075902,4,-0.430389
地方,-0.037323,0.103188,-0.166181,0.064444,4,-0.361704
等候,-0.037368,0.033540,-0.070384,0.004593,4,-1.114128
叔父,-0.037648,0.058179,-0.102318,0.014562,4,-0.647113
知县,-0.037817,0.048379,-0.098517,0.009485,4,-0.781677
仇人,-0.037826,0.051271,-0.103585,0.009302,4,-0.737762
疼痛,-0.038312,0.047137,-0.084543,0.014574,4,-0.812767
太岁,-0.038682,0.063566,-0.115715,0.023989,4,-0.608534
冷水,-0.039341,0.018497,-0.056172,-0.015844,4,-2.126891
身子,-0.039499,0.033374,-0.084666,-0.019623,4,-1.183527
百灵,-0.039746,0.061221,-0.118587,0.015835,4,-0.649217
顶门,-0.040760,0.043840,-0.091912,0.007654,4,-0.929756
衙门,-0.040897,0.075332,-0.121131,0.049280,4,-0.542890
小子,-0.041731,0.046172,-0.072367,0.020352,4,-0.903818
官司,-0.042552,0.065029,-0.121840,0.024445,4,-0.654360
尖刀,-0.042806,0.012963,-0.057846,-0.028478,4,-3.302270
伙计,-0.043636,0.059183,-0.078133,0.036479,4,-0.737307
对准,-0.043663,0.052142,-0.104213,0.013929,4,-0.837394
雁翎,-0.044339,0.061292,-0.092215,0.037057,4,-0.723409
总兵,-0.045826,0.031416,-0.075178,-0.011006,4,-1.458677
人头,-0.047642,0.065436,-0.135580,-0.001754,4,-0.728070
菩萨,-0.052293,0.059358,-0.118642,0.012831,4,-0.880976
凉水,-0.052663,0.021275,-0.072313,-0.028144,4,-2.475380
通海,-0.054652,0.074423,-0.149855,0.013944,4,-0.734335
莲花,-0.055082,0.050855,-0.116697,-0.001842,4,-1.083115
浑身,-0.059929,0.043988,-0.108146,-0.015715,4,-1.362406
侠客,-0.060147,0.059644,-0.124155,0.003191,4,-1.008435
寨主,-0.062916,0.069283,-0.127571,0.019508,4,-0.908098
石头,-0.069141,0.035029,-0.096083,-0.022496,4,-1.973827
辘轳,-0.073454,0.055093,-0.131190,-0.014515,4,-1.333278
树林,-0.075326,0.026111,-0.102200,-0.044165,4,-2.884842
