word,mean_change,std_change,ci_low,ci_high,n_trials,z_score
身份,-0.005744,0.058763,-0.114669,0.099744,100,-0.097750
桌子,-0.005794,0.065155,-0.130428,0.119130,100,-0.088931
权威,-0.005803,0.076644,-0.188621,0.150252,100,-0.075720
老爷,-0.005808,0.063848,-0.140277,0.121255,100,-0.090959
罗汉,-0.005850,0.056541,-0.103360,0.106821,100,-0.103458
地站,-0.005875,0.062869,-0.131763,0.116826,100,-0.093442
老太太,-0.005901,0.064638,-0.158979,0.105784,100,-0.091296
大爷,-0.005911,0.051717,-0.108745,0.088939,100,-0.114295
疑团,-0.005930,0.057280,-0.111858,0.095048,100,-0.103536
饭碗,-0.005955,0.063938,-0.124928,0.111706,100,-0.093135
暗想,-0.005955,0.052573,-0.097327,0.086180,100,-0.113275
颜色,-0.005960,0.052874,-0.102796,0.094812,100,-0.112716
房间,-0.006034,0.061486,-0.105811,0.111712,100,-0.098138
印象,-0.006053,0.069736,-0.149719,0.111891,100,-0.086799
记忆,-0.006074,0.064295,-0.139369,0.112508,100,-0.094472
世界,-0.006081,0.068456,-0.149153,0.122751,100,-0.088832
土地,-0.006082,0.059010,-0.137129,0.098739,100,-0.103068
老王,-0.006093,0.056128,-0.105783,0.093912,100,-0.108546
百感交集,-0.006100,0.056805,-0.107152,0.107669,100,-0.107384
厨师,-0.006231,0.062607,-0.133920,0.102986,100,-0.099523
文字,-0.006275,0.055278,-0.110401,0.102443,100,-0.113523
北京,-0.006296,0.062063,-0.104870,0.117933,100,-0.101453
光明,-0.006343,0.054530,-0.092737,0.096214,100,-0.116326
恶心,-0.006369,0.063417,-0.133600,0.094155,100,-0.100438
模样,-0.006400,0.057962,-0.135546,0.092065,100,-0.110410
话说,-0.006416,0.059187,-0.110266,0.096392,100,-0.108399
柜台,-0.006416,0.054835,-0.110464,0.108836,100,-0.117005
这番话,-0.006416,0.051877,-0.127274,0.079939,100,-0.123676
事体,-0.006457,0.058107,-0.105577,0.101980,100,-0.111119
意思,-0.006465,0.055372,-0.124577,0.088191,100,-0.116756
夫妇,-0.006494,0.066066,-0.142680,0.111888,100,-0.098303
呼唤,-0.006504,0.057643,-0.111291,0.114639,100,-0.112833
小孩子,-0.006551,0.068619,-0.119522,0.123541,100,-0.095471
一番话,-0.006553,0.056857,-0.119724,0.106156,100,-0.115257
子来,-0.006555,0.055117,-0.123309,0.104507,100,-0.118928
小伙子,-0.006605,0.064159,-0.138022,0.099198,100,-0.102952
儿子,-0.006647,0.060825,-0.119685,0.103593,100,-0.109288
小贩,-0.006652,0.059958,-0.118323,0.108088,100,-0.110942
太阳,-0.006720,0.063639,-0.118719,0.122293,100,-0.105598
院子,-0.006728,0.055885,-0.111452,0.116842,100,-0.120387
年龄,-0.006731,0.061094,-0.129639,0.102753,100,-0.110178
产生,-0.006780,0.070787,-0.136686,0.139636,100,-0.095773
老人,-0.006786,0.056604,-0.122572,0.083244,100,-0.119879
车子,-0.006793,0.056703,-0.102809,0.094856,100,-0.119793
眼光,-0.006867,0.068163,-0.123100,0.125182,100,-0.100740
形象,-0.006944,0.058285,-0.115977,0.104666,100,-0.119133
汉子,-0.006945,0.059902,-0.111194,0.099627,100,-0.115938
家伙,-0.007024,0.057139,-0.117073,0.078104,100,-0.122925
司机,-0.007066,0.057530,-0.108674,0.118188,100,-0.122831
景象,-0.007159,0.065204,-0.135586,0.126768,100,-0.109801
张望,-0.007234,0.060799,-0.130750,0.101778,100,-0.118988
长辈,-0.007367,0.063148,-0.127899,0.100706,100,-0.116656
孩子,-0.007396,0.064049,-0.118741,0.108982,100,-0.115474
客厅,-0.007451,0.064887,-0.123143,0.110592,100,-0.114831
见面,-0.007463,0.048992,-0.095897,0.103637,100,-0.152329
老头,-0.007487,0.056093,-0.099805,0.092322,100,-0.133470
教师,-0.007488,0.058768,-0.117689,0.098167,100,-0.127420
落地,-0.007492,0.065127,-0.139488,0.108784,100,-0.115040
小孩,-0.007555,0.055521,-0.119705,0.094104,100,-0.136077
问号,-0.007566,0.064234,-0.122891,0.099039,100,-0.117793
背影,-0.007645,0.066150,-0.145192,0.110555,100,-0.115576
陌生,-0.007704,0.070982,-0.142836,0.113143,100,-0.108533
主人,-0.007777,0.057624,-0.121346,0.092031,100,-0.134963
村庄,-0.007820,0.054996,-0.116339,0.112740,100,-0.142201
祝福,-0.007925,0.060801,-0.126146,0.103616,100,-0.130338
劲儿,-0.008001,0.070768,-0.130549,0.115699,100,-0.113062
村子,-0.008004,0.061638,-0.123978,0.120145,100,-0.129860
办事,-0.008451,0.058835,-0.127024,0.105730,100,-0.143640
炕上,-0.008475,0.063928,-0.129886,0.121121,100,-0.132573
样子,-0.008484,0.058145,-0.124780,0.108491,100,-0.145909
指头,-0.008491,0.063357,-0.124938,0.116513,100,-0.134017
白发,-0.008534,0.058995,-0.128234,0.093689,100,-0.144653
走时,-0.008636,0.056567,-0.112311,0.097175,100,-0.152670
议论,-0.008729,0.054728,-0.108588,0.085187,100,-0.159492
眼眶,-0.008804,0.056487,-0.124377,0.087762,100,-0.155857
神气,-0.008980,0.056802,-0.112504,0.098389,100,-0.158095
句子,-0.009081,0.052408,-0.112292,0.087165,100,-0.173282
老人家,-0.009116,0.062423,-0.141950,0.107993,100,-0.146029
对面,-0.009184,0.057816,-0.131318,0.087267,100,-0.158847
场面,-0.009290,0.064919,-0.135988,0.098501,100,-0.143098
娃娃,-0.009363,0.064099,-0.152623,0.111289,100,-0.146075
商量,-0.009520,0.055547,-0.118399,0.094469,100,-0.171392
讲话,-0.009646,0.062049,-0.137023,0.098499,100,-0.155454
饥饿,-0.009785,0.060449,-0.111897,0.111157,100,-0.161880
名字,-0.009846,0.051843,-0.095746,0.099499,100,-0.189928
小毛,-0.009960,0.062134,-0.129969,0.115776,100,-0.160292
面孔,-0.010170,0.063224,-0.150946,0.089949,100,-0.160856
情形,-0.010262,0.061843,-0.119968,0.107749,100,-0.165938
军人,-0.010278,0.067408,-0.132898,0.121495,100,-0.152474
客人,-0.010314,0.056172,-0.126498,0.086411,100,-0.183615
房子,-0.010452,0.053436,-0.122798,0.082032,100,-0.195588
开口,-0.010591,0.046784,-0.111620,0.074143,100,-0.226373
字眼,-0.010646,0.061225,-0.136412,0.113839,100,-0.173886
女子,-0.010780,0.061715,-0.105048,0.122900,100,-0.174675
大门,-0.011010,0.058583,-0.123225,0.093994,100,-0.187933
有点,-0.011117,0.052344,-0.105626,0.083779,100,-0.212393
问话,-0.011392,0.065132,-0.121005,0.124759,100,-0.174900
情景,-0.011590,0.054598,-0.101970,0.105577,100,-0.212277
全都,-0.012788,0.057673,-0.123031,0.092377,100,-0.221735
明白,-0.013116,0.054203,-0.113179,0.101768,100,-0.241988
众人,-0.013553,0.063568,-0.140524,0.113682,100,-0.213209
台阶,-0.013882,0.060040,-0.116597,0.100248,100,-0.231220
屋子,-0.017334,0.053603,-0.114928,0.082787,100,-0.323383
家人,-0.018138,0.054004,-0.109848,0.079424,100,-0.335857
