word,mean_change,std_change,ci_low,ci_high,n_trials,z_score,count_pre,count_post,cooc_pre,cooc_post,null_mean,p_value
堵住,0.116258,0.039760,0.050712,0.200116,100,2.923972,63,249,1,8,0.004579,0.039604
耳朵,0.116129,0.037500,0.041537,0.198241,100,3.096738,940,1331,22,50,-0.008009,0.009901
阶级,0.116058,0.043327,0.027289,0.201871,100,2.678650,122,431,0,7,0.010007,0.029703
没头没脑,0.115983,0.043130,0.042312,0.195702,100,2.689147,37,81,0,5,-0.000552,0.019802
惦记着,0.115784,0.040481,0.038606,0.191906,100,2.860217,28,64,5,16,-0.011183,0.019802
一紧,0.115478,0.043315,0.038441,0.195910,100,2.665988,21,29,1,11,0.003717,0.059406
碰上,0.115466,0.043106,0.036739,0.202227,100,2.678640,97,763,0,13,-0.008316,0.019802
突突,0.115217,0.039560,0.031697,0.186461,100,2.912420,54,103,24,49,0.004426,0.049505
热泪,0.115115,0.038663,0.039762,0.182820,100,2.977440,72,144,5,21,0.003495,0.049505
泛起,0.114966,0.035307,0.058548,0.181292,100,3.256164,23,99,3,15,-0.001480,0.039604
反复,0.114858,0.040558,0.051291,0.191696,100,2.831915,162,270,17,21,0.000988,0.079208
人群,0.114820,0.041674,0.038595,0.190802,100,2.755210,251,1161,2,17,-0.003713,0.029703
迈着,0.114820,0.038089,0.038000,0.182022,100,3.014488,18,241,0,8,-0.000003,0.019802
喊叫,0.114731,0.039534,0.041130,0.189113,100,2.902068,168,592,4,7,-0.000833,0.039604
浮上来,0.114719,0.032376,0.052670,0.177957,100,3.543338,12,14,2,5,0.000895,0.039604
憋不住,0.114673,0.037631,0.062403,0.195690,100,3.047311,6,51,1,9,-0.009298,0.029703
敬佩,0.114605,0.040209,0.030196,0.191372,100,2.850201,31,119,2,17,0.006308,0.049505
萦绕,0.114117,0.038713,0.041808,0.186212,100,2.947796,18,38,5,10,-0.000840,0.029703
差点,0.113900,0.042364,0.027928,0.198646,100,2.688602,57,252,4,7,-0.000357,0.019802
解恨,0.113867,0.040063,0.030379,0.196230,100,2.842188,8,48,0,5,-0.005726,0.039604
红红的,0.113805,0.035090,0.056692,0.178979,100,3.243232,110,111,5,7,-0.005834,0.029703
自个儿,0.113670,0.041085,0.026521,0.185282,100,2.766714,42,87,0,6,-0.010368,0.029703
那次,0.113411,0.043839,0.041077,0.197015,100,2.586974,89,226,1,6,-0.006631,0.049505
起伏,0.113251,0.044483,0.020186,0.183244,100,2.545944,90,140,10,11,0.000852,0.029703
深情,0.113250,0.037541,0.048818,0.186364,100,3.016699,23,97,2,7,0.002771,0.039604
顺着,0.113021,0.042975,0.024147,0.193066,100,2.629899,241,997,4,15,0.003004,0.039604
滚动,0.113016,0.036739,0.043180,0.181266,100,3.076233,25,113,0,7,0.008006,0.079208
这么个,0.112949,0.039094,0.027134,0.191013,100,2.889146,147,266,4,8,-0.009571,0.019802
算了吧,0.112824,0.039900,0.041638,0.185906,100,2.827654,46,154,2,5,-0.008320,0.019802
长长的,0.112627,0.040025,0.040511,0.191354,100,2.813899,149,279,3,8,0.003295,0.039604
沙土,0.112519,0.037083,0.046592,0.184515,100,3.034247,45,192,0,5,-0.002526,0.029703
小鼓,0.112470,0.042011,0.038492,0.186922,100,2.677173,19,14,0,8,-0.000304,0.039604
土地,0.112439,0.036774,0.042295,0.176786,100,3.057584,317,1272,0,18,0.009668,0.099010
强忍,0.112271,0.039748,0.029782,0.186203,100,2.824559,16,41,0,5,0.000490,0.039604
县长,0.112264,0.033967,0.047271,0.177055,100,3.305055,159,812,1,10,-0.006665,0.059406
屋里的,0.112263,0.038880,0.036656,0.198043,100,2.887427,133,341,2,7,0.001292,0.039604
每当,0.112188,0.039881,0.051655,0.190871,100,2.813035,79,161,2,5,0.003722,0.069307
咬着牙,0.112135,0.041427,0.040158,0.187884,100,2.706792,90,253,5,11,-0.000390,0.059406
琢磨,0.112003,0.038445,0.038601,0.203586,100,2.913341,124,353,3,30,-0.000066,0.019802
最近,0.111913,0.042367,0.031609,0.187467,100,2.641503,421,925,4,14,-0.001239,0.039604
一条,0.111781,0.047070,0.025326,0.203118,100,2.374776,2413,2750,29,25,-0.004028,0.039604
弟兄们,0.111637,0.040829,0.043817,0.188671,100,2.734245,114,433,0,9,-0.001502,0.029703
石头,0.111446,0.040107,0.040705,0.192729,100,2.778699,622,927,39,52,0.004115,0.059406
经常,0.111217,0.038174,0.028685,0.182080,100,2.913431,134,704,2,10,-0.006492,0.019802
捂住,0.110708,0.037411,0.054988,0.176926,100,2.959193,26,102,1,8,-0.006633,0.019802
两口子,0.110630,0.040317,0.027377,0.178471,100,2.744033,85,379,0,7,-0.004411,0.019802
急躁,0.110563,0.044865,0.031966,0.178919,100,2.464342,38,158,4,7,-0.000912,0.029703
衣裳,0.110319,0.039711,0.036934,0.197030,100,2.778065,854,817,8,10,-0.007269,0.049505
冲激,0.110158,0.033190,0.038270,0.170104,100,3.318982,9,25,0,5,0.006743,0.039604
春儿,0.109922,0.038744,0.042903,0.171325,100,2.837135,13,695,0,10,-0.006672,0.019802
着心,0.109917,0.043303,0.032779,0.190624,100,2.538345,46,117,0,5,-0.002509,0.019802
沉着,0.109871,0.034184,0.049196,0.177370,100,3.214134,69,308,2,16,-0.006516,0.059406
地记,0.109775,0.038734,0.034702,0.186978,100,2.834082,25,41,6,12,-0.010713,0.039604
劳动,0.109771,0.038163,0.041542,0.179733,100,2.876336,204,1023,1,6,0.013505,0.039604
一阵子,0.109656,0.039877,0.038652,0.195895,100,2.749880,89,385,1,10,-0.000802,0.059406
材料,0.109614,0.039268,0.037386,0.174847,100,2.791434,245,651,0,6,-0.005778,0.029703
匪徒,0.109354,0.042724,0.038068,0.191941,100,2.559538,12,860,0,15,0.001664,0.039604
其他,0.109265,0.042127,0.031055,0.194666,100,2.593711,523,712,2,7,-0.008424,0.039604
地下,0.108904,0.039627,0.038018,0.184872,100,2.748253,696,1078,7,18,0.004656,0.049505
通了,0.108857,0.038692,0.043962,0.183353,100,2.813395,58,154,0,8,0.004486,0.059406
出出,0.108849,0.040076,0.028784,0.178895,100,2.716032,11,38,4,7,0.001867,0.049505
话儿,0.108834,0.042506,0.026770,0.190176,100,2.560424,51,243,3,5,-0.004581,0.039604
绞痛,0.108657,0.035787,0.041791,0.175586,100,3.036216,12,27,1,16,0.004377,0.059406
还给,0.108532,0.037491,0.032312,0.182720,100,2.894855,150,333,0,5,-0.010535,0.009901
