word,mean_change,std_change,ci_low,ci_high,n_trials,z_score,count_pre,count_post,cooc_pre,cooc_post,null_mean,p_value
下意识,0.078558,0.033869,0.018090,0.142333,100,2.319499,49,180,1,6,0.012147,0.148515
人类,0.078356,0.037323,0.009569,0.142823,100,2.099393,115,515,0,5,-0.004085,0.079208
凝聚,0.078319,0.036893,-0.005771,0.137869,100,2.122874,15,75,3,5,0.003403,0.118812
温情,0.078197,0.039144,0.011423,0.141173,100,1.997685,21,57,2,8,0.002278,0.138614
顿然,0.078107,0.033393,0.018420,0.133003,100,2.339020,10,50,1,9,-0.007821,0.059406
无奈,0.078098,0.040783,-0.011708,0.157705,100,1.914994,50,376,1,16,0.005346,0.128713
巨大,0.078086,0.034896,0.009183,0.141198,100,2.237664,361,792,17,18,-0.006841,0.118812
怏怏,0.078022,0.039012,0.011497,0.145415,100,1.999938,9,63,1,6,0.003796,0.138614
一丝,0.078011,0.041841,0.011861,0.159886,100,1.864485,255,639,11,70,0.006410,0.128713
此刻,0.077674,0.047247,-0.014913,0.152585,100,1.644021,269,820,22,62,0.003701,0.099010
语言,0.077605,0.041061,-0.001119,0.160920,100,1.889992,162,534,15,20,-0.005700,0.079208
恶狠狠,0.077466,0.034027,0.010802,0.143931,100,2.276613,81,124,1,8,-0.000520,0.099010
太多,0.077236,0.044656,-0.002775,0.173073,100,1.729573,378,739,4,14,-0.002174,0.128713
半个,0.077106,0.037296,0.012067,0.150217,100,2.067436,570,649,7,6,0.010734,0.118812
冷冷地,0.076791,0.038093,-0.006080,0.138562,100,2.015885,176,268,6,7,0.004497,0.128713
现实,0.076755,0.037549,0.008686,0.142687,100,2.044148,115,525,3,5,0.000378,0.148515
结婚,0.076659,0.041528,0.001810,0.151053,100,1.845975,484,1376,8,28,0.002492,0.128713
正常,0.076514,0.037892,0.007212,0.130896,100,2.019237,120,558,3,10,0.003866,0.099010
不已,0.076513,0.040097,0.004763,0.156150,100,1.908197,33,165,4,13,-0.010629,0.099010
有些,0.076505,0.039726,0.001602,0.145389,100,1.925835,3426,5445,207,303,-0.001176,0.089109
专门,0.076466,0.039757,0.007012,0.151313,100,1.923352,423,671,2,6,-0.002497,0.099010
硬是,0.076313,0.039994,-0.007742,0.147053,100,1.908083,79,299,2,7,0.002363,0.089109
一个个,0.076183,0.036029,0.006599,0.147617,100,2.114471,532,818,21,14,-0.003379,0.089109
大将军,0.076108,0.037614,0.002301,0.161106,100,2.023394,5,268,1,5,0.003482,0.118812
一轮,0.075968,0.038396,0.002317,0.159528,100,1.978538,51,535,0,13,-0.003581,0.099010
一旦,0.075672,0.042287,0.000375,0.156545,100,1.789477,219,779,5,19,0.000798,0.108911
