word,mean_change,std_change,ci_low,ci_high,n_trials,z_score,count_pre,count_post,cooc_pre,cooc_post,null_mean,p_value
性命,-0.004345,0.035495,-0.078485,0.056150,100,-0.122403,2259,1975,22,13,0.001774,0.534653
长大,-0.004411,0.035474,-0.065303,0.073320,100,-0.124354,269,263,5,5,-0.004808,0.554455
卢珍,-0.004486,0.037021,-0.073810,0.061791,100,-0.121176,7,270,0,5,-0.000958,0.534653
姐儿,-0.004506,0.037295,-0.070979,0.069914,100,-0.120834,134,454,2,15,0.007277,0.603960
举人,-0.004794,0.040732,-0.099587,0.071331,100,-0.117705,468,410,4,7,-0.004102,0.524752
身体,-0.005496,0.045196,-0.090686,0.094305,100,-0.121601,405,550,10,6,0.010492,0.613861
莫非,-0.005696,0.036103,-0.069723,0.066073,100,-0.157779,916,645,44,34,0.002882,0.633663
问道,-0.006053,0.039737,-0.075644,0.079876,100,-0.152332,4462,3736,67,55,0.003445,0.594059
耳朵,-0.006410,0.038574,-0.074977,0.079372,100,-0.166186,317,459,12,12,0.001754,0.574257
北侠,-0.007328,0.036352,-0.072023,0.059785,100,-0.201581,405,521,4,8,0.003176,0.603960
朝廷,-0.007774,0.038244,-0.085209,0.071966,100,-0.203288,1463,883,14,6,0.002299,0.603960
轿夫,-0.007821,0.042907,-0.087016,0.069873,100,-0.182271,188,201,3,5,-0.001045,0.584158
大爷,-0.008100,0.040115,-0.076708,0.078935,100,-0.201923,1469,1576,22,11,0.004643,0.574257
童子,-0.008340,0.041461,-0.075824,0.083549,100,-0.201144,498,501,1,7,0.008268,0.613861
冷水,-0.009686,0.040676,-0.100455,0.058936,100,-0.238123,84,63,7,5,-0.003605,0.544554
鲜血,-0.009781,0.042384,-0.082272,0.068185,100,-0.230776,194,187,5,6,0.002669,0.603960
字字,-0.009840,0.034991,-0.070013,0.056124,100,-0.281224,58,34,2,6,0.003610,0.603960
五脏,-0.009954,0.039893,-0.074371,0.065996,100,-0.249515,47,71,13,12,-0.004724,0.514851
步行,-0.010004,0.041836,-0.094983,0.063503,100,-0.239126,196,182,2,6,0.003229,0.594059
真情,-0.010883,0.038963,-0.094906,0.062516,100,-0.279317,178,145,5,5,-0.006540,0.534653
石头,-0.011429,0.044042,-0.089904,0.074568,100,-0.259498,206,360,12,11,0.006017,0.554455
眼见,-0.011793,0.041637,-0.085552,0.075754,100,-0.283242,155,153,4,7,0.003356,0.633663
东西,-0.011806,0.046095,-0.097715,0.080137,100,-0.256125,2648,3999,44,54,0.002530,0.584158
面色,-0.011856,0.036766,-0.084198,0.053488,100,-0.322475,156,194,10,11,-0.002072,0.603960
小孩,-0.012403,0.041369,-0.107031,0.055385,100,-0.299823,67,277,1,9,0.002332,0.643564
小山,-0.012838,0.043370,-0.088697,0.067078,100,-0.296010,295,137,6,5,0.006370,0.623762
